,comment,off
2600,سرك كتر من هكاك نتي ماشي بنت نااس,1
2892,وعلاش تبعيه الاوطيل؟ بنت دارهم ما كاتمشي الاوطيل؟,1
8008,والله اخوتي الى بوهالي هاد السيد تعاونو معه نوصلو القناة ديالو لمليون,0
4697,الله ينعلك حسبي الله ونعم الوكيل فيك,1
1513,سير الله يغبر ليك الشقف نضيع الوقت نسمعك باش تفيدينا ,1
3735,الله امسخك,1
1092,باش تجيب بنت تعيشها معاك شهرين أو بلا زواج أو ماتقربش ليها خاصك تكون #راجل_أو_نص,0
6951,عاش ااملك.  الله يحفظ اامغربيات اينما كنتم شكرا ليكم,0
7996,نصيحة لوجه الله متنساش صلاتك فهي مفتاح الجنة,0
3327,الله يشف من هدا سيدا  او تشفاء هدا بنت,0
1292,وشدو مايا رقاصه الي تتشطح ب سليب وتم تسريب فيديو ديالها وحتى حد مهدر معاها وشدو صحابات روتيني ليومي الي فاضحينا قدام العالم وهادي مسكينةة فقيره شديتوهاااا؟؟ وهيا غلطات مع كلب وفضحها يعني بينها وبينو شديتوها مسكينة واتحكموا عليها بلحبس؟؟؟؟؟ وشدوووووووووووو الي فاضحينا فليوتيب,1
6348,الله يكمل بيناتهم ويسترهم ويحفظهم يبانوا ناس ملاح وهو اجرو كبير عند ربي لي ستر هاد الولية اليتيمة مسكينة ربي يكتر من امثالوا وربي معاهم اختكم من الجزائر,0
2743,معليش مزال ترمتك باقيلك متبكيش أروتيني,1
3157,شوفي اختي هاد المرة خشى فيك  جنوية فالمؤخرة ديالك  مرة أخرى غدي اخشيها ليك فبلاصة أخرى  بالحق من بعد مايفيق  من الساكتة والمسكوتة,1
3330,قبح الله الفقر  الله إيشوف من حالتهم,0
7166,اودي هداك راه غييييير لجزائر دورة معاه هههههه حيت ملقاتش شكون يساندها ههههههههه,0
5000,"الخوت فيقو وعيقو ومتبعوش هاذ ولاد البهائم""",1
5625,بنات دارهوم مكيكميوشي الشيشة ياك قلتي بلي منين شدوك فالحبس خنقوك امسكينة بريحة الكارو ونتينا كضربي الشيييييشة امكتخنقيش ههه وجهك قاااااصح يا اختي,1
2342,ناس زبالة,1
3559,لي شاف تعليق ديالي بغيت ليك شي فرحة أو بغيتلك أمك تكون سيدة من سيدات الجنة يا رب ❤ تعاونو مع ولد بلادكم بأبوني في القناة فضلا و ليس أمرا 🙏❤,0
6208,ما بقنا فاهمين والوا هدا المغرب كل يرجع الاباء يغتصب ولادهم هو مزوج اش خلاو لشماكرية سبحان نهار دخل السوريين للمغرب والافارقه كثرث واه المحارم خاص شي رقية تفوسخ المغرب,1
5962,اتمنى اضيفكم بنات المغرب,0
2422,لحم بالبرقوق من بعد الحلوى ديال عيد الميلاد الله ينزل عليه غضب الله .......,1
6223,ناري يختي محسباش بلي لموت كاينا,0
2459,الله أهديكم واش  غير قرأ الفاتحة تنوض تولد علمو بناتكم الخطوبة غير تعارف ماشي تولد معاه هي خاطءة ماشي ضحية السيد مزوج وباغين تلصقو فيه  الرجل المغربي ديما كيبغي القحاب ولكن مراتو هي الأولى ولاخيرة,1
4100,الله يهديكم هادشي لغنكول ليكم,0
7617,"هشام ملولي فاش عطيته نزل فيديو عندو في القناة ديالو شكرا على مجهودات لي قدمتي ليه الله يبعد عنكم المحسادة والحقدة 
كبرتي في عيني تحية ولاد الشعب",0
5144,اختي مشاء الله عليك غزالة وألف واحد يتمناك و خالي إيمانك فالله قوي وما تضعافشي رابي هو لي ينصر وربي هو لي يغفر الدنوب الجاميع متضعفش لدياب ياكلوك هادوك الناس معندومشي ضمير ودابا رابي افضحوم انشاء الله فالدنيا عما قريب متضعفشي خاليك قوية .وما تنساش الناس باغين غير  يشوهوك ويخالوك تبان غير كحلة واشيطانة ولكن متنساش رابي هو لي كا ينصر وكا يغفر..🤲💕💕,0
3115,إيوا يا سمحمد الله يعطيك الذل وياخوفي من هادوك الاولاد ملي يكبرو غادين تحصدو اللي زرعتو فيهم الله ياخد فيكم الحق شوهتونا,1
2822,الفن والفنانين الوسخ والعفن إلا من رحم الله,1
128,الله إمسخك,1
7317,هدا جزائري,0
3145,ياختي غنقوليق ياريت تقراي تعاليق الناس واش دابا من نيتك نتي حاسبا راسك يوتوبورز إوا تفرجي فليوتوبورزات ورضي علينا لخبار راه أختي والله البوز ونجاح ماجا بالمؤخرة وداك اللبس ديالك لعيان وراجلك والله أخويا نتا ماراجل ولحساب عسير عند الله ودابا تشوف أما نتي لانجحتي أجي عكري ليا,1
5684,الله يهديها ويهدينا أي حاجة كنقومو بيها الواليدين لي كيتعذبو أما هي غادوز مدة فالحبس وتخرج,0
6467,اکل الحلوی وتنصل للفتاة وشوهااا ت فٌ نييت 😂😂😂,1
3120,لا حول ولا قوة إلا بالله العلي العظيم الله ياخد فيك ألحق دابة نتي مالقيتي ما ديري الله يعطيك الدل والتبهديل نتي حاشة واش إمرأة محترمة تفو عليك,1
361,غتبان فدوزيم هاد لعام صافي كملات انا غنمسح هاد لقانة كاع ونتهنا غير باش نشوفش كمارتك اوجه لحلوف تفو على كنس كي داير,1
7970,شكون جا من طرف قناة أشنو طري ههههه,0
3206,هديك صباح خير راك حامض بها شويا ازبي,1
5414,مافهمت تاقلوى,1
612,وااااو بكترت جمال ديالك سماكيت,1
1447,الله يحرق دين الواليدين فحالهم,1
3168,شوهتي بينا الله يعطيك ماعطا للكلب فمو ينبح وزوكو يزدح,1
7762,تشللت😂😂,0
3396,حمد الله في الجزائر ممنوع مخدرات 🤲🤲🤲لزم في مغرب يمنعو كل شي لي يدي هلاك ربي يكون معكم 😭قطعتلي قلبي هو حاس روحو رجال ربي يستر مريض مسكين لزملو طبيب نفسني 80٪يميل رجال ماشي بنت,0
5048,ياربي تسرنا الشعب ديال القوم لوط بان,1
1311,واش هادشي الميمة راها خصها تعاقب على ديك قلت الحيا سواء كان فيديو قديم او جديد راه مرة أخرى دير أكثر من داكشي و إلي شافوها دارت هاكداك و متعاقبتش غيديرو اكثر منها الميمة راه إلي دار دنب يستاهل العقوبة ربي إلي خلقنا ميبغيش داكشي الله يكون معاكم و مع وليداتها,1
107,زعما تايقا فراسك داك شطيح ورديح غادي يديك الجنة الله يعفو عليك ابنتي,1
2077,الفقر مشي سبب يوصلك لهد لحال ملي الله يبغي يعطيك رآه غدي يعطيك. لمشكيل هوا خاص قانون ليحفظ لكرامة ديالك لمراة لمطلقة أو أرملة أو لعازبة خصها شهرية الى مكنتش خدامة باش نتفداو هده لمأساة  إجتماعية لكنشوف ليوم,0
1206,الله أمرنا بالستر وهذا ولد لحرام  فضحها بقاو فيا هذ الولدين مساكن  ووليداتها نتمنى ميكونوش شافو الفيديو با ميأترش  على حياتهم ان الله غفور رحيم,1
4814,تفو شحااال حامضة هاد سعيييدة...معرفت علاه كيجيبوها....و فين ميكون هاد لموسم ديال طنطان يجيبوها لينا.    يالطيف حد مكيحملهاوع التطرف,1
3707,"ختي سيري كرطي ديك اللحية راه كتباني بحال شي راجل 😒""",1
7385,اعيباد الله راه خسو يتعدم ،انا كنطالب المغاربة كاملين عفكوم خاس هاد الاعدام حيت الاخلينا هادشي داز غايوليو يخرجو محسنات ماشي غير محسن واحد خاسو الاعدااااااااااااام ويديروليه كيفما دار ليه,1
6456,يخلق من ظهر عالم فاسد,1
1789,العدائة الكبيرة نوال المتوكل والوزيرة السابقة والمسؤولة الدولية بنت الدرب في حي بوركون سنوات السبعينات واعرف امها الموظفة أنداك بالعمالة وهي في نفس الزنقة التي صنعت لاعب رشيد الداودي لاعب المنتخب والوداد الأمة والمحترف * وكان نعقل لها كانت دائما ترتدي سورفيت وحداء رياضي وبصحبتها كلب شامبوليس🐕كبير راه بنت حي عرف العديد من نجوم والابطال في العديد من رياضات كالهداف ميري عبد الكريم واخوه مصطفى وبن عبيشة وفتاح العلوي * ونجوم بوركون الغنائية ومسرحيين في السبعينات منهم سلسلة * الكرعة) التي كانت تتحول إلى امرأة.....اما بنتها فهي امها وهي المسؤولة عليها....الخ وهدا حرية الشخصية ..,0
1,الطفل عدنان  الله يرحمو  ولكن  لن يرتاح  عدنان  ولن يرتاح  المغاربة  إلا  بعد إعدام  هذا المجرم  المتوحش  الله ياخد فيه الحق,1
5524,هاد شوف نيفي خاسها تطير!,1
6305,الله ياخد الحق في كل ضالم وبهتاني رحمك الله يا شوف تيفي اصبحت من البنطجيين الله ياخد الحق فيك شوف تيفي الشوهة ولكدوب والضلم,1
6793,خزعبلات شوف تيتي,1
6206,لا حول ولا قوة الا بالله ا😢,0
6859,الطوندوز ماشي الطوندوس,1
945,اشنو هاد قلة الآداب وقلة الاحترام الله يمسخكم حشمتو بالمغاربة تفو لا دين لا  ملة,1
3077,قبح الله الجهل و الهوى الإنسان بلا عقيدة كالجسد بلا روح  اقتلوا ملا غيرت له  أن لم تستحي فاصنع ما شءت  اخواني المغاربة  علينا بالحكمة  بالهجر الكامل ولا كرامة,1
6200,و ليس في المرأة الأخرى ... نعطيه طلاقو و يزيد مع الطريق ... لا أفهم ذل بعض النساء الاتي يتجاوزن أخطاء أزواجهن و كأنهم أطفالهن,1
1961,أنا مزوجة عمر راجلي قالي سيفطي لي تصويرتك عريانة ولد لحرام هو كان كيعاملك معاملة صاحبة ماشي زوجة راه نت لي نية كنت حاسباه راجلك,1
5710,إستنتاج خطير برافو عليك كلنا ليلى,0
7671,كولشي يبارطاجي الله يرحم الواليدين,0
1895,اخر الحرام الشوهة كدزني بالعلالي مع راجل مزوج وجهك قاصح كدقول مظلومة ختي راك زنيتي وكنت في لحرام نهايتو فضيحة,1
3005,هادي موكلاه الخرا  مافيهاش,1
4723,أصلان حنا فأواخر زمان الله يعطينا حسن الخاتمة,0
7757,مبروك عليك رجوع الأغنية,0
3184,تفو على فشل الله يشفيك يا صاحب الفيديو و الريبورتير على الأسئلة السخيفة والفشلة الله يهديكم,1
7133,سر اللومى فى تفتيت الدهون,0
743,البلاد تناكت,1
2387,الله يعطيك الصحة شوف تيفي هههههههه,0
1222,"اربي السلامة الله يحفض بنات المسلمين راه هدشي ممكن يوقع لاي بنت من بناتنا راه كيتغرر بيهم   ستروها الله يسترها علي بناتكم""",0
1693,ممربياش وحتى مها داتها غ ف الخاوية,1
3599,انا نتزوج بيك ينعل بو شي جن,1
6295,الكتاب الماسوني يقول ان فى المستقبل زواج الشواذ سيكون قانون ومباح ومسموح به,0
3803,"تفو على بلاد""",1
3899,هههههه واحد ملاحضة بنت ستاتي تاهي خرجت تشبه ليه في صبيع صغير,1
4203,الله يعطيكم شي موصيبة نتي ولا وياه شوهتو,1
2909,المغاربة ملي تاويلي عندهوم شوية دلفلوس  تايقيمو تفو على الكبت,1
4452,الله يرد بيها مسكينة سيدة راها مريضة وكنتمنى شي محسين اوقف معها  ياربي بقات فيا مسكينة,0
385,بقا لينا غير هاد لحول عوج القمقوم. وانت يا شوف خيخي الله يعطيكم الذل فين ما كيان شي معتوه ولا شي شمكار تجيبوه لنا .تفووووووووووو عليكم يا تافهين تابعين غير الفلوس .قبح الله سعيكم.لا حول ولا قوة إلا بالله,1
562,الصوت ديالك متميز تباركالله دكشي لاش درتلك ديزلايك,1
5563,سيري تخراي باش تبراي 😂😂😂,1
5262,شحااااال صرفت عليك,0
3945,وعلاش خاشي ذاك الصبع فكرّك ؟ 🙂,1
1219,الله يخد الحق فهداك الظليم حسبي الله ونعمة الوكيل ياربي ترحمها ويرحمها القظاء راه المجرم هو الي خسو الحبس,1
3686,ياااودي على زوامل يودي 😂😂,1
1472,اللهم الحبس ولى  هاد  دل     غزالة تبارك الله  الله يعطيك العداب,1
258,😂😂😂😂😂😂😂😂😂😂😂😂وخا هكاك كايفوج عليا بالضحك هههههههه,0
5365,درتي روبيبيني خاصك  طاصا ديال حمام,0
2670,ههههههه تناكت القلاوي,1
6928,مسكينة بقات في الله ياخد فيهم حق زوينة ماشاء الله ضيعوا ليها حياتها,0
7891,واااو براااافووو و الله حتى ناااااضي و صوتك خطير فالراب كمل كمل كمل بغييينا الكليب إطلع فالطوندونس 👏❤,0
6853,مازال زايدبن فيه نشر التفاهة,1
1348,يجب إعدام الأم والخال.اما انت فضحية الله يهديك,1
6628,هههههههههه  عمرك تحلمي بالمغرب 👺👺👺👺👺👺👺👺👺👺👺👺ههههههههههههه,1
5110,ارواح عندي فاجزائر وانا غادي نجيبو فيك ياصحفي نمي,1
7698,نزار صافي سد عليك موظوع ننادة وعيش حياتك,0
356,هعلاش  جاتنة  كورونا  وكترتو اعلام  عطاهوم  قيمة  متبقاوش  تورينة  هدا  زبل,1
3963,شمكار ديال لخلا,1
3427,راه غير بنت ومسكينة هبلوها بداك شي لكتاكل,0
6269,سلام انا متتبعة جديدة دعيو معيا بزوج صالح عندي 47عام وباقي على الله يفرجها على كلشي يارب دعوة 40 غريب مستجابة جزاكم الله كل خير,0
5204,اويلي اش هاد المنكر,1
5206,"ربي ينتقم منه""",1
4230,غطيو لبنات الناس وجههم,0
330,سير أودي أكنعل ربي إني أمين 😑,1
2228,بصاح مكانش مراتح مع نصابو ولكن كان مرتاح مع ليلى و دليل جابت منو بنت,0
4607,واااااااك واااااك الحق اش هادالخنز شوهة يااااااااااااااااربي تستر يااااااارب 🤲🏻 مبقا ميعجب فهادالدنيا لازين لامجي بكري لعفووووووووووووووو يامولنا,1
7963,الله يسر ليك اخويا نزار اهم حاجة يكونو واليديك راضين عليك❤️❤️❤️❤️❤️❤️,0
7233,فين ما مشاو كيلقاو مغاربة احرار,0
1482,"نتا لمك حاشا تكون سميتك سمحمد ..سير بدل سميتك دير سعاد""",1
7861,مبروك لك نزار,0
6146,الصحافة دالكيلو تاتشهروا حتى بالعائلة احترموا شيب الاب حسبيا الله ونعم الوكيل,1
91,منير معمرو خدم مع خالد العوني منير من البادية عند ولد الحوات اما خالد العوني غير بغيتي تجبديه حيت مات او طفا او سلا او باش طلع باش هبط  ودخلي سوق كرك منير او سعيد بيناتهم شي حاجة صعيبة اكتر من خونة راه لخبار في راسكم واش تتعقلو علي العكبة ديال درب سلطان تحية المرحوم حمو البوفي,1
570,شوف هير وجهو ملي كيغني (ههههههههههههه) صافي عارف علاش مدارش صوة حيت عارف صوتو خايب بحالو هههههههه😂😂😂😂😂,1
529,تفو علا كمامر,1
5253,نعل الله المتشبهين بالنساء والعكس,1
4576,خوتي أبوس أيديكم الله يرحم الوالدين لي عزيزة عليه ميمتو حط أبوني أريد الوصول إلى 1000 باقي 23,0
3816,تفو على بنادم ممتقبلش راسو عزيز عليك دير المكياج دير كوافور وصايب لعريسات الزمر,1
5685,ياربي السلامة خاصنا كثرمن كورنا,1
1078,اللهم أسترنا فوق وتحت الأرض ويوم العرض آميييين اللهم أغفرلنا وارحمنا بي رحمتك الواسعة وارحم واغفر لموتانا آميييييين,0
5336,اينا انتم يا شرفاء المغرب 🤔,0
436,الله امسخك انت اصلا ممسوخ بحالك علاش صلط علما الله كورونا اتفو,1
5791,لي دار ديسلايك وجا من عند بيمو لايك,1
3432,هادي باينة بنت ت من ملامح الوجه ديالها,0
3455,البنت عندها مرض نفسي الجو والضروف خلاتها تكون شخصية رجل,0
7856,لي جاي إدير ديز لايك إستاسيوني حدايا,0
7530,"😍😍أووووووووووووووو الأغنية رجعااات 💪💪
لي رجع يشوف الأغنية بحالي  يسطاسيوني 🔥🔥",0
6944,انا لا أعرف من سيقرأ تعليقي !! ولكن أتمنى لك السعادة وراحة البال,0
6590,تفوه عليكم,1
2087,صافي اختي غير زيدي ديالك حتى انت شحال قدك دابا تدبالي وتولي جفاف لا يصح الا الصحيح,1
8012,بغنا لجديد أخاي نزار,0
7038,الله يحفظ بلدنا وسائر بلاد المسلمين من كل شر,0
3841,مرض انشاء لله خبيت,1
3956,تفو المسخين,1
1907,في الصراحه نتي غزاله الف واحد يتمناك  مني عرفت الزمر مزوج قلبي عليه و متعيشيش معاه بلا وراق   مفهمتش علاش كديرو بحال هاكا واخا يكون الواحد معندو ما ياكل كاع,1
1266,اولي قديم ولا جديد هدي راه فظيحة,1
4484,كلامك متناقض كتلقاي معاه ومعشراه وبخاطرك ونتي مشيتي عندو المهم نتمى يدير معاك حل والله يحفظك نتي ولدك,0
6186,نسألكم الدعاء للمتوفي محمود عبد العزيز بالرحمه والمغفره وللاهل بالصبر اللهم اغفر له وارحمه وعافه واعف عنه واكرم نزله ووسع مدخله واغسله بالماء والثلج والبرد ونقه من الخطايا كما ينقى الثوب الابيض من الدنس وابدله دار خيرا من داره واهلا خيرا من اهله وزوجا خيرا من زوجه وادخله الجنه واعذه من عذاب القبر ومن عذاب النار اللهم عامله بما انت اهله ولا تعامله بما هو اهله اللهم اجزه عن الاحسان احسانا وعن الاساءه عفوا وغفرانا اللهم ان كان محسنا فزد في حسناته وان كان مسيئا فتجاوز عنه يارب العالمين اللهم ادخله الجنه من غير مناقشه حساب ولا سابقه عذاب اللهم آنسه في وحدته وآنسه في وحشته وآنسه في غربته اللهم انزله منزلا مباركا وانت خير المنزلين اللهم انزله منازل الصديقين والشهداء والصالحين وحسن اولئك رفيقا اللهم اجعل قبره روضه من رياض الجنه ولا تجعله حفره من حفر النار اللهم افسح له في قبره مد بصره وافرش قبره من فراش الجنه اللهم اعذه من عذاب القبر وجاف الارض عن جنبيه اللهم املأ قبره بالرضا والنور والفسحه والسرور,0
791,"صحافة ديال الذل والانحطاط والفساد الاخلاقي""",1
2224,"الله يلطف بالعباد وينصر المظلوم على الظالم""",0
4455,وهاديك .....طييييييط......الي كاتبينها بالعاني هي سبب الرزق وداك الخيال اللي كايوقف حداك عندوا واحد الحاسة سميتها الغيرة ولا منعادما,1
1804,ليلي بنت الشعب ههههههههه بنتكم بوحدكم,1
5160,الله يدينا فضو,0
1005,انتم الرجال السبب في الدعارة تغرونهن بالفلوس سيرو اتقوا الله في أنفسكم وفي بنات الناس ملي تبغي تحرش بالمرأة تفكر اختك امك خالتك عمتك جدتك كلهن نساء,0
2047,حشومة عليكم و الله,0
5366,هي لخصت القصة كلها في الدقيقة 7:31 حيث قالت عايشة في الأوهام . الله يشفيها,0
3122,الله يستر هادا راجل ولا قواد بغيت ليكم العز اما الذل راكم عايشين فيه,1
1769,التربية تكون في الصغر  فما نزرعه في عقول ابناءنا في الصغر نحصده لما يكبرون لذلك وجب تعليم ابناءنا دين الله تعالى باكرا في الصغر حتى يحميهم من الزلات والانحرافات والمنكرات لما يكبرون  كلنا مسؤولون وسنحاسب امام الله تعالى,1
640,"الله يعطيك الدل أفم البزطام""",1
2420,باينة صيداتو مسكين.كان بغي يزها ويزيد لصقت له بنت.,1
1357,دبا واش بغيثوا تحمقونا ولا كيفاش هربنا من دوزيم والاولى خرجتوا لينا انتما واش هدا فيديو وتقدموه للعالم ناااري امي لا ماعرفت فين غادي نهرب شوهتونا ها الدعارة ها الفساد ها السحر ها الزوامل ها الخرا الله انعل لما يحشم تفو مرضتونا والله حتى عيب وعار وحشومه معينا البنات زناقي عمروا اليوتيب مشوهينا لا فورمة لا زين معينا ليكم نتما حسبنا الله ونعم الوكيل فيكم .,1
2101,هادشي قديم هي دارت قناة خدامة بالحلال كيف الناس وهاد قناة شوف تيفي غي باغيين يشوهو بيها هادو ليهود لي كيشوهو بيها مسكينة,1
4521,لا حول ولا قوة الا بالله العلي العظيم هذا مشي انسان او مشي راجل بتاتا الله يخد فيه الحق,1
2236,حتى إسرائيل ذاتها تحترم خصوصية الكنائس ولا تقتحمها وإن تحصن داخلها مطلوبين لا أدري ماحجة داعش في تدمير بيوت الله بالرغم من أن مباديء الشريعة تحظر مهاجمة معابد الغير خلال الحرب فما بالكم بالمساجد,0
6888,دخلو شجعوني حبيباتي,0
7763,اجمل ما في هاذ الاغنية انها نابعة من مشاعر حقيقية,0
4598,كنظن داك الحشيش اثر على العقل ديالا الله يشوف من حالكم,0
7927,اغنيه روعه,0
3644,مرض نفساني ومرض الاوهام,0
5023,المخزن لي دافعم باش تشوهو سمعت السيد حيث معارض وواقف ليهم فالحلق,0
4025,صراحة هذا هو مستوى ولاذ زنقة هذو هما لي كيكبرو في حجر عاهرات كابر في ذعارة وكيشجع برتوش بيان جوي خوينز شوهتي راسك وتبعوك براهش لي شابعين امواتهم فساذ وذعارة,1
3837,الله يعطيك هذا المرض ديال الصين,1
4204,نتمنى هد الحب يكبر بينكم والله يبعد عليكم الحساد   ووالاد  الحرام,0
1391,لا حولى ولا قوة الى بالله العلي العظيم  اختي ستري راسك راه غادي يجي يوم تندمي على كلشي قلتيه في الاعلام  ابدئي  حيات جديدة اطلبي الوتائق ديالك في المحكمة  والي معاك لو كان تيبغي ليك الخير ميخليكش تلتاجئي  لقنوات تفظحي فيها راسك  فكري  الدنيا صغيرة شنو بيكون مستقبل اولادك مني غادي يعروفو  هاد شي   ما في حد في الدنيا ماغلط والله سبحان وتعالى أمرنا بالستر,0
6809,لاحول ولا قوة الا بالله العلي العظيم,0
1841,كلنا مزوجين وعندنا رجالنا مكنتصوروش عريانات انت بنت زنقة كتبقاي بنت زنقة اسالينا,1
7493,كلشي يبارطجي بغينا نزار فالطوندوس زكارة فالحقادة والمحسادة 🔥🔥🔥,0
2852,الشرف غالي تفو عليكم وليتيوا غير دايعين دبى عاد تتبكي.,1
5454,راه ماكنسمع والو 🤔,0
4291,هاد الفورمة ديال تراكس ماشي نورمال ياربي السلامة زايدة مزيرها,1
910,شوهة مقودة كنكون معصب كنتفرج فيكم كتفوجو عليا بروجولة هههه (من شجرة الرسل) (أبطال أبطال أبطال) (بلاد أمان) حاجة لصحيحة عندكم  محمد سيكسو حوا بلاد كاملة ههه,1
2701,هدا.مجرم.محاولت.قتل,1
4001,سير تخر,1
6983,تحيا الناس الي كان تم نفتخر بيهم,0
807,"تفو على مراوي مراوي مراوي""",1
6522,هضرتها جاتني كذوب ويلا كانت من اصحاب روتيني اليومي كون غير قتلها نيت,1
3228,يلكان بصح هد بولاحية خص مو لأعدام,1
759,صراحة را عندك موهبة زوينة تستحق الدفن و الرجم,1
6960,"العز للجالية  المغربية  والمغاربة  الاحرار👏❤❤😘😘😘
الله الوطن الملك ❤ ❤ 😘 ❤",0
593,هههه اش هاد لقلاوي,1
6788,صحاب الباك الله ينجحكم  كاملين,0
571,جيش بيمو غي كاتزيدوا المشاهدات لهاذ التب هههههههههه😂,1
500,هل انت تحسب راسك راجل  واعي ابدا انت انسان تشهر بالفساد والشدود زعم كبر سنك  موعظة في الفجوراتق خالق كيفستلقى ربك,1
5557,كما قال سيدنا عيسى من منكم بلا خطيئه فليتقدم اولا ويرميها بحجر,0
1127,"نصحوه يدير شي قناة كلشي غايعاونو او يدخل شي رزيق😂❤""",0
4283,محشمتيش تشري اللايكات؟؟!😂😂😂,0
7822,رجعات اغنية Hhhh,0
2740,قالت لك فيديوا عادي الله امسخك راه مؤخرة ديالك لعجباك الله اهديك واهدي الجميع,1
2556,الله يعطيك شي موصيبة,1
7329,تبارك الله على النساء المغربيات,0
1158,المرض ههههه ديال المشاعر,0
6851,راه حشومة راه قلة الترابي تعطي للناس بضهرك و بترمتك اش هاد المستوى وصلنا ليه,1
5025,😂😂😂 هذا  راااه وجهوا صحيح فينكم المغاربة حاذكين غير في الميلودي و عينين تاتا باش تعرفوا راكم منافقون 😉 هنا فين خاص تبانوا مع المظلومين.,1
284,سبحان الله فاش لمار كتهضر فالحق كيكولو لها انت ناقصة عقل والا غلطات كيردوها هي مولات لعقل مجتمع منافق متناقض حرامي والمشكل هذا محامي يا حسرتاه وداير لمنكر,1
3424,هذي بنت ومسكينة باينة عليها ماشي واثقة في نفسها  لهذاك ردت روحها راجل يعني تقول بلي هيا راجل هذي لازملها طبيب نفساني .,0
4144,كتبت تعليق يضحك ويضحك شيطان الانني كنت كاتبة فيه تشميت الاخونا في الله وعرفت لأنني نكتب وانتم ضحكو وهو يقدر يقراه ويتجرح في قلبو وشيطان يفرح ويركب على كتافي اعوذ بالله لذالك فكرت ندعي له بالهدااية ونفقس الشيطان الله ينعلو اختكم من وجدة,1
2880,كنتي تدعيه ف المحكمة دابا غير كتشوهي فراسك مشيتي برجليك كون كنتي بنت الناس  غادي تغوتي ف الاوطيل غادي ينقدوك إلى كان بزز عليك,1
1671,ناري حسبنا الله ونعم الوكيل. واش هادو مسلمين,1
510,داك الحول مريض ,1
2050,شوف تيفي نصحوها بشي حاجة اخرى من الرقص الله يعطيكم مصيبة صحافه الزبل تفوووو,1
7286,كفاكم من العبارات الكاذبة عاشت الجمهورية العربية الصحراوية الديمقراطية لا نامت,0
943,مااكينش مراة تقبل عليك تجيب ليك اطفال من غير سينا عارفة بير وغطاه 🤣🙂🤣,1
7285,لمادا تهتفون عاش المغرب عاش الملك لمادا دهبتم الى اسبانيا تعالو عيشو معنا القهرة والبطالة وعدم الصحة وقلة التعليم  ونشوفو هل رايكم سوف يتغير ام لا,0
5818,اصلا  التشبه  بالنساء حرام,0
6695,هدراتك فيها تناقود؟؟؟؟؟,0
2907,"قالت لك ضربني فالأول هههه لا ابنتي راه ضربك تا فلخر ههه التقحبين تحت شعار المظلومية ههه اشمن شرف عند لي تمشي تبات فالاوطيلات ,,,",1
7382,يجب حماية هده إمرأة من طرف عناصر الشرطة,0
29,سير تحشم سعيد كنعرفوه سنين,1
858,بغيت غير نعرف شكون لي داير المونطاج تفو,1
5622,نندب واش راني نسمع 😤😤😤😤😡😡😡😡,1
959,تحيا الجزاءر...الله اكبر,0
2899,واش ال كيعرف شي بنت شارع ومشات معاه كتمشي لشوف tv,1
1323,لاحول ولا قوة الا بالله يحز في نفسي اطفالها يوم يشاهدون هذا الويل وكيف ستكون نفسيتهم يارب الطف واهدي ما خلقت يارب 😔,0
497,يعتكم الدل فينما  لقيتو شي خانز تجيبوه باش ديرو البوز  منها خرجات شوف تيفي    ولينا نشوفو  كاع الزبل ديال المغرب,1
6898,ولهيلا جيت غير ياش ندير ديزلايك انمشي بحالي والله,1
6174,عادي اصلا امها ليبرالية مع التجمع الوطني. و الليبراليين كاملين نسخة الموديل الفرنسي (التفتحي) .,0
770,ميكروب ميكروب ميكروب 💩💩💩💩💩,1
5763,لن يخرج آل سعود المدعمين للدكتاتورية في البلدان العربية بأموال فقراء حزيرة العرب.. لن يخرجو سالمين وسترون هذا في المستقبل....,1
7498,ناااري شحال بكيت نزار انت واعر بزااااااااف تقدر تكون هادي هي بداية دياللك برافو كمل برافو شكرا بزاااف ملولي شكرا تهلاو في بعضياتكم نزار متخلاش على هشام ولد ناس بقا معاه دير لايك باش اشوف كمونتير عفااااكم🙏,0
7662,شكوون كيشوف نزاار ترجل ملي مشا عند الملولي اسطاسيوني هنا👌,0
2415,راس مثقل به الحمار حسن منو شنو معنى محامي ؟! مكتعرفش معناها أكيد داكشي علاش المهم ربي كبير,1
2597,الله يعطيك لعذاب لبحالكم خلاو الإسلام مثل اللعبة من علامات الساعة الكبرى اللهم ءن هذا منكر,1
5559,وحنا شنو يتافدوا من هاد الهضره🧐,0
3805,أنا   ولد  كندير  الماكياج,0
6086,هادي لمتابتش عقيبتها مغتكونش بيخير الله يستر الله يخرجنا من دار العيب بلا عيب,1
4432,بلاش فقرة الاهداءات وادا كان لابد منها خليها في نهايه الفيديو احسن. وبالتوفيق ياعمر,0
1175,خويا تهلا فديك لبنت راه ربى عطك نعمة مهم خوتي دعو معيا حتا أنا بشي بنت بحال ديال اكشوان اكنوان,0
6377,قلة الحياء و التربية,1
3040,بغيت لك الغرق اللي يقلب سليبك يلقاه خانز عوض متجفي والكاميرا وراك ديريها قدامك كن مكانتش عندك نية خامجة بحالك,1
6741,هادي حملها شي واحد وسباتها في الجن اصلا الجن مكيدخلش في الإنس هاديك غير خرافات ومعتقدات,0
6674,متجيوش وتحكمو حتى هما الخوتنا أهم حاجة النصيحة,0
